District Names,State/UT,QualityWater,Literacy,AntenatalCare,InstitutionalBirths,Homebirths,BirthBySkilledProfessional,Obesity,Tobacco,Alcohol,PostnatalCare,Safety_Score,Rank
Raigarh ,Chhattisgarh,97.53,75.96,55.41,87.73,3.3,85.78,14.91,19.08,3.77,89.55,0.818538659483036,401
Dewas ,Madhya Pradesh,93.58,67.29,49.07,92.23,3.62,91.85,19.16,7.26,0.5,84.27,0.8183983809709754,402
Firozpur ,Punjab,95.57,75.74,48.44,95.53,2.69,97.53,39.24,0.06,0.31,83.91,0.8177775240699983,403
Saharanpur ,Uttar Pradesh,99.73,73.79,52.44,81.65,5.29,86.94,16.35,2.42,0.49,83.58,0.8172937123175686,404
Gariyaband ,Chhattisgarh,96.82,72.08,57.84,87.56,4.65,84.93,9.09,21.04,1.21,86.34,0.8168752755122124,405
Datia ,Madhya Pradesh,95.82,71.16,54.16,89.44,5.8,88.61,19.11,6.65,0.21,82.04,0.8167103094570012,406
Satna ,Madhya Pradesh,92.67,73.02,51.5,85.53,4.56,86.34,20.36,6.27,0.06,81.26,0.8157803171855909,407
Bathinda ,Punjab,99.1,72.47,48.23,93.12,1.77,93.2,37.47,1.0,0.46,78.66,0.8152060915655283,408
Auraiya ,Uttar Pradesh,99.49,79.26,50.37,90.11,4.13,90.92,19.28,9.29,0.3,77.8,0.8151013286025726,409
South District ,Sikkim,93.3,90.46,84.49,97.41,1.97,99.38,34.83,15.78,14.95,83.06,0.8139582349856291,410
Jaisalmer ,Rajasthan,95.18,63.53,47.59,90.01,3.76,93.57,11.18,4.97,0.14,80.09,0.8138185414080927,411
Tehri Garhwal ,Uttarakhand,84.09,75.54,48.89,82.15,2.03,77.62,20.89,3.78,0.18,78.49,0.8138109645504326,412
Palwal ,Haryana,96.69,71.14,53.41,78.34,4.42,83.24,27.38,6.96,0.11,82.69,0.8135387246963636,413
Umaria ,Madhya Pradesh,79.48,67.66,48.86,92.19,3.28,85.61,14.56,13.86,1.97,89.68,0.8124259089999996,414
Sangrur ,Punjab,99.69,79.79,47.71,94.66,4.47,97.67,37.58,0.63,0.26,86.63,0.811991581324319,415
Jalaun ,Uttar Pradesh,98.95,70.98,62.84,85.13,6.05,85.58,14.55,13.39,0.18,67.46,0.8115696756303231,416
Sangareddy ,Telangana,99.35,63.63,66.38,92.96,4.41,95.08,29.44,5.4,11.2,84.67,0.8109639289557451,417
Sundargarh ,Odisha,91.47,74.12,73.07,91.34,2.23,88.15,19.57,21.87,11.46,79.69,0.8109081527673635,418
Chamoli ,Uttarakhand,94.43,90.45,52.22,73.94,2.83,75.31,24.23,2.18,0.19,72.11,0.810042656744277,419
Janjgir - Champa ,Chhattisgarh,97.24,77.02,62.82,86.24,8.4,91.56,12.81,14.82,1.34,85.94,0.8100249690206996,420
Sawai Madhopur ,Rajasthan,92.48,57.35,47.31,97.4,1.03,97.76,11.08,13.87,0.56,75.19,0.8098832588950798,421
Kodarma ,Jharkhand,83.88,66.91,47.61,91.33,4.32,94.49,12.4,1.4,0.49,75.84,0.8095358504005878,422
Baleshwar ,Odisha,98.49,76.46,56.61,97.58,0.41,93.46,21.63,29.82,4.25,87.59,0.809216522503223,423
Hamirpur ,Uttar Pradesh,99.4,73.23,43.24,96.28,1.76,96.23,9.27,16.95,0.15,87.22,0.8087142971269856,424
Nagaon ,Assam,96.12,78.44,59.44,83.67,2.71,86.74,13.24,18.2,2.5,61.99,0.8079318296534329,425
Kamareddy ,Telangana,99.37,58.56,79.5,97.05,1.51,93.21,21.04,5.63,16.71,86.75,0.8079244804615612,426
Mau ,Uttar Pradesh,99.8,74.44,43.2,94.74,2.67,90.66,20.2,6.38,0.37,79.96,0.8074733206586169,427
Kanpur Dehat ,Uttar Pradesh,99.4,75.56,54.4,84.3,4.37,83.82,19.59,10.17,0.42,67.9,0.8070083205728726,428
Dhaulpur ,Rajasthan,94.75,59.91,42.43,94.42,0.44,94.16,11.65,9.92,0.22,79.4,0.8067248131077139,429
Deoria ,Uttar Pradesh,99.81,73.7,42.45,93.42,2.5,91.56,19.32,2.31,0.31,77.22,0.8063218763715727,430
Koriya ,Chhattisgarh,87.62,77.08,70.02,80.75,7.72,88.18,17.33,17.45,4.71,78.15,0.8061672295222585,431
Sehore ,Madhya Pradesh,92.2,69.68,44.97,94.67,1.2,86.93,20.61,9.68,0.3,74.37,0.8061657145315072,432
Mansa ,Punjab,99.28,69.39,49.42,88.77,5.68,93.5,32.92,0.42,0.3,84.32,0.8060902966505457,433
Sivasagar ,Assam,92.65,86.64,80.89,95.25,0.37,95.61,21.46,25.53,13.53,73.79,0.8052221875897619,434
Jaunpur ,Uttar Pradesh,99.08,77.28,47.58,88.77,5.62,86.68,15.71,5.79,0.57,82.27,0.8050314623472185,435
Muzaffarnagar ,Uttar Pradesh,99.9,73.41,44.02,86.99,4.2,89.9,28.11,3.65,0.27,88.51,0.8048456782698092,436
Murshidabad ,West Bengal,99.1,67.55,66.85,86.99,5.28,92.28,25.18,5.12,0.88,49.84,0.8045421219855045,437
Etawah ,Uttar Pradesh,99.49,79.66,43.71,85.21,3.13,88.0,23.7,5.2,0.1,79.3,0.8039195365625217,438
Karauli ,Rajasthan,94.75,54.82,42.02,97.56,0.2,97.55,10.48,17.31,0.44,89.44,0.803755496188082,439
Rampur ,Uttar Pradesh,100.0,59.33,50.36,81.01,3.59,81.05,20.59,4.94,0.12,72.46,0.8032236009896283,440
Golaghat ,Assam,93.7,75.12,65.74,90.36,2.22,92.11,16.04,21.55,10.41,73.53,0.802410499300953,441
Aligarh ,Uttar Pradesh,100.0,68.71,44.68,82.58,2.91,85.53,29.42,5.14,0.11,82.08,0.8023803766539818,442
Lalitpur ,Uttar Pradesh,96.55,61.33,45.7,90.79,2.43,84.5,13.24,5.45,0.71,71.09,0.8021916431549648,443
Koppal ,Karnataka,95.95,59.8,50.67,90.74,3.21,89.18,21.91,19.87,1.22,80.67,0.8016475081512143,444
Churu ,Rajasthan,98.21,66.04,45.01,87.84,3.42,89.9,20.31,4.96,0.42,73.87,0.8006297338804543,445
Bulandshahr ,Uttar Pradesh,100.0,72.11,47.61,83.5,5.06,86.68,32.22,4.11,0.18,82.52,0.8004823602047051,446
Agra ,Uttar Pradesh,99.77,64.97,42.65,89.08,1.44,90.1,25.21,8.89,0.61,77.2,0.7996049709005101,447
Gulbarga ,Karnataka,92.51,68.24,53.63,88.66,7.02,87.08,21.83,10.99,0.77,79.62,0.7985298137364741,448
Ambedkar Nagar ,Uttar Pradesh,100.0,78.51,44.47,92.17,3.74,87.86,20.34,12.77,0.15,76.83,0.7981912721514066,449
Bijnor ,Uttar Pradesh,99.71,74.11,48.8,83.69,6.5,89.37,28.02,3.61,0.15,82.4,0.7980786887715224,450
Uttar Dinajpur ,West Bengal,99.77,65.35,70.08,76.89,7.82,84.72,14.56,10.17,1.66,60.91,0.798041458868288,451
Rayagada ,Odisha,91.26,45.07,85.26,68.9,3.5,72.05,14.83,29.1,4.89,69.69,0.7976429925159177,452
North ,NCT of Delhi,99.26,81.86,50.64,89.74,4.69,91.31,41.83,2.79,0.37,68.91,0.7976106844374662,453
